,tag,patterns,response
164,prime_numbers,Is 23 a prime number?,"Prime numbers less than 50 are: 2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43, and 47."
165,prime_numbers,Is 23 a prime number?,13 is a prime number as it has only two distinct positive divisors: 1 and 13.
166,prime_numbers,Which numbers less than 50 are prime?,"Yes, 23 is a prime number because it has no divisors other than 1 and itself."
167,prime_numbers,Which numbers less than 50 are prime?,"Prime numbers less than 50 are: 2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43, and 47."
168,prime_numbers,Which numbers less than 50 are prime?,13 is a prime number as it has only two distinct positive divisors: 1 and 13.
169,prime_numbers,Can you tell me if 13 is prime or composite?,"Yes, 23 is a prime number because it has no divisors other than 1 and itself."
170,prime_numbers,Can you tell me if 13 is prime or composite?,"Prime numbers less than 50 are: 2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43, and 47."
171,prime_numbers,Can you tell me if 13 is prime or composite?,13 is a prime number as it has only two distinct positive divisors: 1 and 13.
172,motivation,I feel demotivated.,Remember that every great journey starts with a small step. Keep moving forward!
173,motivation,I feel demotivated.,Challenges are what make life interesting. Embrace them and stay motivated!
174,motivation,I feel demotivated.,"Believe in yourself, for you are capable of achieving incredible things!"
175,motivation,I feel demotivated.,Your dreams are within reach. Stay focused and motivated to turn them into reality.
176,motivation,I feel demotivated.,Don't be discouraged by setbacks. They are stepping stones to success. Keep going!
177,motivation,How can I stay motivated?,Remember that every great journey starts with a small step. Keep moving forward!
178,motivation,How can I stay motivated?,Challenges are what make life interesting. Embrace them and stay motivated!
179,motivation,How can I stay motivated?,"Believe in yourself, for you are capable of achieving incredible things!"
180,motivation,How can I stay motivated?,Your dreams are within reach. Stay focused and motivated to turn them into reality.
181,motivation,How can I stay motivated?,Don't be discouraged by setbacks. They are stepping stones to success. Keep going!
182,motivation,I need some motivation.,Remember that every great journey starts with a small step. Keep moving forward!
183,motivation,I need some motivation.,Challenges are what make life interesting. Embrace them and stay motivated!
184,motivation,I need some motivation.,"Believe in yourself, for you are capable of achieving incredible things!"
185,motivation,I need some motivation.,Your dreams are within reach. Stay focused and motivated to turn them into reality.
186,motivation,I need some motivation.,Don't be discouraged by setbacks. They are stepping stones to success. Keep going!
187,motivation,"Feeling low, any motivational words?",Remember that every great journey starts with a small step. Keep moving forward!
188,motivation,"Feeling low, any motivational words?",Challenges are what make life interesting. Embrace them and stay motivated!
189,motivation,"Feeling low, any motivational words?","Believe in yourself, for you are capable of achieving incredible things!"
190,motivation,"Feeling low, any motivational words?",Your dreams are within reach. Stay focused and motivated to turn them into reality.
191,motivation,"Feeling low, any motivational words?",Don't be discouraged by setbacks. They are stepping stones to success. Keep going!
192,team_building,How can I build a strong team?,Building trust among team members is crucial for a strong and united team.
193,team_building,How can I build a strong team?,Encourage open communication and active listening within your team.
194,team_building,How can I build a strong team?,Recognize and appreciate the unique strengths and contributions of each team member.
195,team_building,How can I build a strong team?,Set clear goals and ensure everyone understands their role in achieving them.
196,team_building,How can I build a strong team?,Plan team-building activities to promote bonding and camaraderie among team members.
197,team_building,Any tips for fostering teamwork?,Building trust among team members is crucial for a strong and united team.
198,team_building,Any tips for fostering teamwork?,Encourage open communication and active listening within your team.
199,team_building,Any tips for fostering teamwork?,Recognize and appreciate the unique strengths and contributions of each team member.
200,team_building,Any tips for fostering teamwork?,Set clear goals and ensure everyone understands their role in achieving them.
201,team_building,Any tips for fostering teamwork?,Plan team-building activities to promote bonding and camaraderie among team members.
202,team_building,What makes a successful team?,Building trust among team members is crucial for a strong and united team.
203,team_building,What makes a successful team?,Encourage open communication and active listening within your team.
204,team_building,What makes a successful team?,Recognize and appreciate the unique strengths and contributions of each team member.
205,team_building,What makes a successful team?,Set clear goals and ensure everyone understands their role in achieving them.
206,team_building,What makes a successful team?,Plan team-building activities to promote bonding and camaraderie among team members.
207,supporting_others,How can I support and encourage others?,Be a good listener and offer your empathy and understanding.
208,supporting_others,How can I support and encourage others?,Provide words of encouragement and remind them of their strengths.
209,supporting_others,How can I support and encourage others?,Offer a helping hand and let them know you are there for them.
210,supporting_others,How can I support and encourage others?,Celebrate their successes and support them during challenging times.
211,supporting_others,How can I support and encourage others?,Show kindness and spread positivity to make a difference in someone's life.
212,supporting_others,What can I do to uplift someone's spirits?,Be a good listener and offer your empathy and understanding.
213,supporting_others,What can I do to uplift someone's spirits?,Provide words of encouragement and remind them of their strengths.
214,supporting_others,What can I do to uplift someone's spirits?,Offer a helping hand and let them know you are there for them.
215,supporting_others,What can I do to uplift someone's spirits?,Celebrate their successes and support them during challenging times.
216,supporting_others,What can I do to uplift someone's spirits?,Show kindness and spread positivity to make a difference in someone's life.
217,supporting_others,Tips for being a supportive friend?,Be a good listener and offer your empathy and understanding.
218,supporting_others,Tips for being a supportive friend?,Provide words of encouragement and remind them of their strengths.
219,supporting_others,Tips for being a supportive friend?,Offer a helping hand and let them know you are there for them.
220,supporting_others,Tips for being a supportive friend?,Celebrate their successes and support them during challenging times.
221,supporting_others,Tips for being a supportive friend?,Show kindness and spread positivity to make a difference in someone's life.
222,overcoming_adversity,How do I stay strong during tough times?,Remember that challenges are opportunities for growth and resilience.
223,overcoming_adversity,How do I stay strong during tough times?,Take one step at a time and focus on the solutions rather than the problems.
224,overcoming_adversity,How do I stay strong during tough times?,"Seek support from friends, family, or professionals if needed."
225,overcoming_adversity,How do I stay strong during tough times?,Maintain a positive outlook and keep reminding yourself of your strengths.
226,overcoming_adversity,How do I stay strong during tough times?,Believe in your ability to overcome obstacles; you are stronger than you think!
227,overcoming_adversity,"Dealing with adversity, any advice?",Remember that challenges are opportunities for growth and resilience.
228,overcoming_adversity,"Dealing with adversity, any advice?",Take one step at a time and focus on the solutions rather than the problems.
229,overcoming_adversity,"Dealing with adversity, any advice?","Seek support from friends, family, or professionals if needed."
230,overcoming_adversity,"Dealing with adversity, any advice?",Maintain a positive outlook and keep reminding yourself of your strengths.
231,overcoming_adversity,"Dealing with adversity, any advice?",Believe in your ability to overcome obstacles; you are stronger than you think!
232,overcoming_adversity,Tips for overcoming challenges?,Remember that challenges are opportunities for growth and resilience.
233,overcoming_adversity,Tips for overcoming challenges?,Take one step at a time and focus on the solutions rather than the problems.
234,overcoming_adversity,Tips for overcoming challenges?,"Seek support from friends, family, or professionals if needed."
235,overcoming_adversity,Tips for overcoming challenges?,Maintain a positive outlook and keep reminding yourself of your strengths.
236,overcoming_adversity,Tips for overcoming challenges?,Believe in your ability to overcome obstacles; you are stronger than you think!
237,geometry_concepts,Explain what an isosceles triangle is.,An isosceles triangle is a triangle with at least two sides of equal length and two corresponding angles of equal measure.
238,geometry_concepts,Explain what an isosceles triangle is.,A right angle is an angle that measures exactly 90 degrees.
239,geometry_concepts,Explain what an isosceles triangle is.,"The properties of a parallelogram include opposite sides being parallel and congruent, and opposite angles being equal."
240,geometry_concepts,What is the definition of a right angle?,An isosceles triangle is a triangle with at least two sides of equal length and two corresponding angles of equal measure.
241,geometry_concepts,What is the definition of a right angle?,A right angle is an angle that measures exactly 90 degrees.
242,geometry_concepts,What is the definition of a right angle?,"The properties of a parallelogram include opposite sides being parallel and congruent, and opposite angles being equal."
243,geometry_concepts,Tell me about the properties of a parallelogram.,An isosceles triangle is a triangle with at least two sides of equal length and two corresponding angles of equal measure.
244,geometry_concepts,Tell me about the properties of a parallelogram.,A right angle is an angle that measures exactly 90 degrees.
245,geometry_concepts,Tell me about the properties of a parallelogram.,"The properties of a parallelogram include opposite sides being parallel and congruent, and opposite angles being equal."
246,math_puzzles,Solve the following puzzle: 3 + 3 * 6.,"The solution to 3 + 3 * 6 is 21, following the order of operations (PEMDAS)."
247,math_puzzles,Solve the following puzzle: 3 + 3 * 6.,25 divided by 5 plus 3 equals 8.
248,math_puzzles,Solve the following puzzle: 3 + 3 * 6.,"The missing number in the sequence is 8, as it follows an increment of 2."
249,math_puzzles,Can you figure out 25 divided by 5 plus 3?,"The solution to 3 + 3 * 6 is 21, following the order of operations (PEMDAS)."
250,math_puzzles,Can you figure out 25 divided by 5 plus 3?,25 divided by 5 plus 3 equals 8.
251,math_puzzles,Can you figure out 25 divided by 5 plus 3?,"The missing number in the sequence is 8, as it follows an increment of 2."
252,math_puzzles,"What's the missing number in this sequence: 2, 4, 6, __, 10?","The solution to 3 + 3 * 6 is 21, following the order of operations (PEMDAS)."
253,math_puzzles,"What's the missing number in this sequence: 2, 4, 6, __, 10?",25 divided by 5 plus 3 equals 8.
254,math_puzzles,"What's the missing number in this sequence: 2, 4, 6, __, 10?","The missing number in the sequence is 8, as it follows an increment of 2."
255,shakespeare_poems,Read me a poem by Shakespeare.,"Certainly! Here's a beautiful poem by William Shakespeare:

Over hill, over dale,
Thorough bush, thorough brier,
Over park, over pale,
Thorough flood, thorough fire!
I do wander everywhere,
Swifter than the moon's sphere;
And I serve the Fairy Queen,
To dew her orbs upon the green;
The cowslips tall her pensioners be;
In their gold coats spots you see;
Those be rubies, fairy favours;
In those freckles live their savours;
I must go seek some dewdrops here,
And hang a pearl in every cowslip's ear."
256,shakespeare_poems,Share a Shakespearean poem with me.,"Certainly! Here's a beautiful poem by William Shakespeare:

Over hill, over dale,
Thorough bush, thorough brier,
Over park, over pale,
Thorough flood, thorough fire!
I do wander everywhere,
Swifter than the moon's sphere;
And I serve the Fairy Queen,
To dew her orbs upon the green;
The cowslips tall her pensioners be;
In their gold coats spots you see;
Those be rubies, fairy favours;
In those freckles live their savours;
I must go seek some dewdrops here,
And hang a pearl in every cowslip's ear."
257,shakespeare_poems,Let me hear a poem written by Shakespeare.,"Certainly! Here's a beautiful poem by William Shakespeare:

Over hill, over dale,
Thorough bush, thorough brier,
Over park, over pale,
Thorough flood, thorough fire!
I do wander everywhere,
Swifter than the moon's sphere;
And I serve the Fairy Queen,
To dew her orbs upon the green;
The cowslips tall her pensioners be;
In their gold coats spots you see;
Those be rubies, fairy favours;
In those freckles live their savours;
I must go seek some dewdrops here,
And hang a pearl in every cowslip's ear."
258,greeting,Hi there,"Hello, Welcome to Our IT Chatbot"
259,greeting,Hi there,"Good to see you, Welcome to our IT Chatbot"
260,greeting,Hi there,"Hi there, how can I help?"
261,greeting,Hello,"Hello, Welcome to Our IT Chatbot"
262,greeting,Hello,"Good to see you, Welcome to our IT Chatbot"
263,greeting,Hello,"Hi there, how can I help?"
264,greeting,Hola,"Hello, Welcome to Our IT Chatbot"
265,greeting,Hola,"Good to see you, Welcome to our IT Chatbot"
266,greeting,Hola,"Hi there, how can I help?"
267,greeting,Hey,"Hello, Welcome to Our IT Chatbot"
268,greeting,Hey,"Good to see you, Welcome to our IT Chatbot"
269,greeting,Hey,"Hi there, how can I help?"
270,greeting,Hi,"Hello, Welcome to Our IT Chatbot"
271,greeting,Hi,"Good to see you, Welcome to our IT Chatbot"
272,greeting,Hi,"Hi there, how can I help?"
273,greeting,Hello,"Hello, Welcome to Our IT Chatbot"
274,greeting,Hello,"Good to see you, Welcome to our IT Chatbot"
275,greeting,Hello,"Hi there, how can I help?"
276,greeting,Good morning,"Hello, Welcome to Our IT Chatbot"
277,greeting,Good morning,"Good to see you, Welcome to our IT Chatbot"
278,greeting,Good morning,"Hi there, how can I help?"
279,greeting,Good Evening,"Hello, Welcome to Our IT Chatbot"
280,greeting,Good Evening,"Good to see you, Welcome to our IT Chatbot"
281,greeting,Good Evening,"Hi there, how can I help?"
282,goodbye,Bye,See you!
283,goodbye,Bye,Have a nice day
284,goodbye,Bye,Bye! Come back again soon.
285,goodbye,Bye,Happy to help
286,goodbye,See you later,See you!
287,goodbye,See you later,Have a nice day
288,goodbye,See you later,Bye! Come back again soon.
289,goodbye,See you later,Happy to help
290,goodbye,Goodbye,See you!
291,goodbye,Goodbye,Have a nice day
292,goodbye,Goodbye,Bye! Come back again soon.
293,goodbye,Goodbye,Happy to help
294,goodbye,"Nice chatting to you, bye",See you!
295,goodbye,"Nice chatting to you, bye",Have a nice day
296,goodbye,"Nice chatting to you, bye",Bye! Come back again soon.
297,goodbye,"Nice chatting to you, bye",Happy to help
298,goodbye,Till next time,See you!
299,goodbye,Till next time,Have a nice day
300,goodbye,Till next time,Bye! Come back again soon.
301,goodbye,Till next time,Happy to help
302,goodbye,Bye Chatbot,See you!
303,goodbye,Bye Chatbot,Have a nice day
304,goodbye,Bye Chatbot,Bye! Come back again soon.
305,goodbye,Bye Chatbot,Happy to help
306,thanks,Thanks,Happy to help! Any other issues?
307,thanks,Thanks,Any time! Any other issues I can help with?
308,thanks,Thanks,My pleasure! Any other Issues I can help with?
309,thanks,Thank you,Happy to help! Any other issues?
310,thanks,Thank you,Any time! Any other issues I can help with?
311,thanks,Thank you,My pleasure! Any other Issues I can help with?
312,thanks,That's helpful,Happy to help! Any other issues?
313,thanks,That's helpful,Any time! Any other issues I can help with?
314,thanks,That's helpful,My pleasure! Any other Issues I can help with?
315,thanks,"Awesome, thanks",Happy to help! Any other issues?
316,thanks,"Awesome, thanks",Any time! Any other issues I can help with?
317,thanks,"Awesome, thanks",My pleasure! Any other Issues I can help with?
318,thanks,Thanks for helping me,Happy to help! Any other issues?
319,thanks,Thanks for helping me,Any time! Any other issues I can help with?
320,thanks,Thanks for helping me,My pleasure! Any other Issues I can help with?
321,noanswer,q,"Sorry, can't understand you"
322,noanswer,q,Please give me more info
323,noanswer,q,Not sure I understand
324,noanswer,random,"Sorry, can't understand you"
325,noanswer,random,Please give me more info
326,noanswer,random,Not sure I understand
327,options,How you could help me?,"I can guide you through
 1)Password Reset
2) Trouble-Shooting issues
3) Virus Issues
4) Printing Issues
5) many more IT issues"
328,options,How you could help me?,"Offering support for 
1) Password Reset
2) Trouble-Shooting issues
3) Virus Issues
4) Printer issues
5) Other IT tasks"
329,options,What you can do?,"I can guide you through
 1)Password Reset
2) Trouble-Shooting issues
3) Virus Issues
4) Printing Issues
5) many more IT issues"
330,options,What you can do?,"Offering support for 
1) Password Reset
2) Trouble-Shooting issues
3) Virus Issues
4) Printer issues
5) Other IT tasks"
331,options,What help you provide?,"I can guide you through
 1)Password Reset
2) Trouble-Shooting issues
3) Virus Issues
4) Printing Issues
5) many more IT issues"
332,options,What help you provide?,"Offering support for 
1) Password Reset
2) Trouble-Shooting issues
3) Virus Issues
4) Printer issues
5) Other IT tasks"
333,options,How you can be helpful?,"I can guide you through
 1)Password Reset
2) Trouble-Shooting issues
3) Virus Issues
4) Printing Issues
5) many more IT issues"
334,options,How you can be helpful?,"Offering support for 
1) Password Reset
2) Trouble-Shooting issues
3) Virus Issues
4) Printer issues
5) Other IT tasks"
335,options,What support is offered,"I can guide you through
 1)Password Reset
2) Trouble-Shooting issues
3) Virus Issues
4) Printing Issues
5) many more IT issues"
336,options,What support is offered,"Offering support for 
1) Password Reset
2) Trouble-Shooting issues
3) Virus Issues
4) Printer issues
5) Other IT tasks"
337,options,What services do you provide?,"I can guide you through
 1)Password Reset
2) Trouble-Shooting issues
3) Virus Issues
4) Printing Issues
5) many more IT issues"
338,options,What services do you provide?,"Offering support for 
1) Password Reset
2) Trouble-Shooting issues
3) Virus Issues
4) Printer issues
5) Other IT tasks"
339,options,What can you help me with,"I can guide you through
 1)Password Reset
2) Trouble-Shooting issues
3) Virus Issues
4) Printing Issues
5) many more IT issues"
340,options,What can you help me with,"Offering support for 
1) Password Reset
2) Trouble-Shooting issues
3) Virus Issues
4) Printer issues
5) Other IT tasks"
341,Password Reset,How to reset my password?,Confirm your email address
342,Password Reset,I’m unable to log in!,Confirm your email address
343,Password Reset,"My Password is Lost, need to Reset.",Confirm your email address
344,Password Reset,Open password reset module,Confirm your email address
345,Password Reset,Reset my password,Confirm your email address
346,Password Reset,Forgot password,Confirm your email address
347,Password Reset,how do i reset my password?,Confirm your email address
348,Password Reset,"Hi,I have problem with my password",Confirm your email address
349,Password Reset,Problem with Login ID,Confirm your email address
350,E-mail id,@gmail.com,The reset pin has been sent on your registered mobile number
351,E-mail id,@outlook.com,The reset pin has been sent on your registered mobile number
352,E-mail id,@yahoo.com,The reset pin has been sent on your registered mobile number
353,E-mail id,@hotmail.in,The reset pin has been sent on your registered mobile number
354,Blue Sreen issue,I’ve got the dreaded blue screen of death!,"Simply rebooting can fix the blue screen of death (or STOP error, as it is otherwise known)."
355,Blue Sreen issue,I’ve got the dreaded blue screen of death!,rebooting can help the issue
